Source.Name,Area,rooms,type,City_District,Date
new building.csv,44,1,new,"Tashkent, Yunusabad district",2/24/2023
new building.csv,14,1,new,"Tashkent, Yashnabad district",3/25/2023
new building.csv,42.61,1,new,"Tashkent, Yunusabad district",3/15/2023
new building.csv,38,1,new,"Tashkent, Mirzo-Ulugbek district",3/24/2023
new building.csv,40,1,new,"Tashkent, Chilanzar district",7/24/2023
new building.csv,33,1,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,42,1,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,33,1,new,"Tashkent, Uchtepinsky district",6/25/2023
new building.csv,12,1,new,"Tashkent, Yashnabad district",6/13/2023
new building.csv,33,1,new,"Tashkent, Chilanzar district",6/23/2023
new building.csv,46,1,new,"Tashkent, Yunusabad district",6/25/2023
new building.csv,37,1,new,"Tashkent, Chilanzar district",2/17/2023
new building.csv,33,1,new,"Tashkent, Almazar district",2/25/2023
new building.csv,30,1,new,"Tashkent, Chilanzar district",6/24/2023
new building.csv,34,1,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,21,1,new,"Tashkent, Yashnabad district",2/25/2023
new building.csv,43,1,new,"Tashkent, Yunusabad district",6/20/2023
new building.csv,19,1,new,"Tashkent, Yakkasarai district",6/25/2023
new building.csv,38,1,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,16,1,new,"Tashkent, Yashnabad district",6/19/2023
new building.csv,30,1,new,"Tashkent, Mirabad district",6/19/2023
new building.csv,18,1,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,27,1,new,"Tashkent, Mirabad district",6/25/2023
new building.csv,33,1,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,38,1,new,"Tashkent, Yunusabad district",6/24/2023
new building.csv,13,1,new,"Tashkent, Yashnabad district",6/20/2023
new building.csv,25,1,new,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,36.5,1,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,27,1,new,"Tashkent, Yunusabad district",7/24/2023
new building.csv,45,1,new,"Tashkent, Almazar district",7/24/2023
new building.csv,33,1,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,44,1,new,"Tashkent, Almazar district",7/11/2023
new building.csv,32,1,new,"Tashkent, Sergeli district",7/25/2023
new building.csv,18,1,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,42,1,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,18,1,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,26,1,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,44,1,new,"Tashkent, Mirzo-Ulugbek district",7/25/2023
new building.csv,38,1,new,"Tashkent, Mirzo-Ulugbek district",7/25/2023
new building.csv,18,1,new,"Tashkent, Mirzo-Ulugbek district",7/25/2023
new building.csv,28,1,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,43,1,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,45,1,new,"Tashkent, Yunusabad district",7/25/2023
new building.csv,45,1,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,42,1,new,"Tashkent, Yakkasarai district",7/25/2023
new building.csv,50,1,new,"Tashkent, Yashnabad district",7/25/2023
new building.csv,42,1,new,"Tashkent, Mirzo-Ulugbek district",7/25/2023
new building.csv,30,1,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,45,2,new,"Tashkent, Yashnabad district",7/25/2023
new building.csv,50,2,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,28,2,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,35,2,new,"Tashkent, Chilanzar district",7/25/2023
new building.csv,42,2,new,"Tashkent, Yunusabad district",6/25/2023
new building.csv,45,2,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,35,2,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,35,2,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,36,2,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,43,2,new,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,33,2,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,30,2,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,36,2,new,"Tashkent, Uchtepinsky district",4/25/2023
new building.csv,37,2,new,"Tashkent, Mirzo-Ulugbek district",4/25/2023
new building.csv,39,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,38,2,new,"Tashkent, Yakkasarai district",4/25/2023
new building.csv,44,2,new,"Tashkent, Yashnabad district",4/25/2023
new building.csv,35,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,34,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,26,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,31,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,28,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,28,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,33,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,30,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,35,2,new,"Tashkent, Mirabad district",4/25/2023
new building.csv,40,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,28,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,36,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,35,2,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,35,2,new,"Tashkent, Mirabad district",4/25/2023
new building.csv,28,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,28,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,30,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,38,3,new,"Tashkent, Yunusabad district",4/25/2023
new building.csv,45,3,new,"Tashkent, Yashnabad district",4/25/2023
new building.csv,30,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,30,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,18,3,new,"Tashkent, Yashnabad district",4/25/2023
new building.csv,32,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,38,3,new,"Tashkent, Yunusabad district",4/25/2023
new building.csv,30,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,30,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,34,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,18,3,new,"Tashkent, Mirabad district",4/25/2023
new building.csv,42,3,new,"Tashkent, Chilanzar district",4/25/2023
new building.csv,28,3,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,28,3,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,34,3,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,30,3,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,28,3,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,30,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,34,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,31,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,34,4,new,"Tashkent, Yunusabad district",5/25/2023
new building.csv,32,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,33,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,12,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,33,4,new,"Tashkent, Yakkasarai district",5/25/2023
new building.csv,34,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,28,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,34,4,new,"Tashkent, Yakkasarai district",5/25/2023
new building.csv,30,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,38,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,42,4,new,"Tashkent, Uchtepinsky district",5/25/2023
new building.csv,48,4,new,"Tashkent, Yashnabad district",5/25/2023
new building.csv,38,4,new,"Tashkent, Mirzo-Ulugbek district",5/25/2023
new building.csv,30,4,new,"Tashkent, Yashnabad district",5/25/2023
new building.csv,19,4,new,"Tashkent, Yakkasarai district",5/25/2023
new building.csv,58,4,new,"Tashkent, Almazar district",5/25/2023
new building.csv,40,4,new,"Tashkent, Yakkasarai district",5/25/2023
new building.csv,40,4,new,"Tashkent, Almazar district",5/25/2023
new building.csv,28,4,new,"Tashkent, Yakkasarai district",5/25/2023
new building.csv,42,4,new,"Tashkent, Mirabad district",5/25/2023
new building.csv,30,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,30,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,40,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,34,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,38,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,38,4,new,"Tashkent, Yakkasarai district",5/25/2023
new building.csv,33,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,35,4,new,"Tashkent, Mirabad district",5/25/2023
new building.csv,35,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,21,4,new,"Tashkent, Yashnabad district",5/25/2023
new building.csv,38,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,39,4,new,"Tashkent, Yashnabad district",5/25/2023
new building.csv,43,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,28,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,42,4,new,"Tashkent, Yashnabad district",5/25/2023
new building.csv,40,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,33,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,16,4,new,"Tashkent, Yunusabad district",5/25/2023
new building.csv,43,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,30,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,38,4,new,"Tashkent, Uchtepinsky district",5/25/2023
new building.csv,32,4,new,"Tashkent, Chilanzar district",5/25/2023
new building.csv,30,4,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,21,4,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,33,4,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,20,4,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,34,4,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,45,5,new,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,36,5,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,30,5,new,"Tashkent, Yakkasarai district",6/25/2023
new building.csv,32,5,new,"Tashkent, Shaikhantahur district",6/25/2023
new building.csv,34,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,33,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,30,5,new,"Tashkent, Yakkasarai district",6/25/2023
new building.csv,45,5,new,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,34,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,28,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,36,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,50,5,new,"Tashkent, Yakkasarai district",6/25/2023
new building.csv,50,5,new,"Tashkent, Mirabad district",6/25/2023
new building.csv,50,5,new,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,18,5,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,35,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,33,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,2,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,33,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,32,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,46,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,30,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,48,5,new,"Tashkent, Yunusabad district",6/25/2023
new building.csv,30,5,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,30,5,new,"Tashkent, Yunusabad district",6/25/2023
new building.csv,42,5,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,48,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,30,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,35,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,38,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,16,5,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,40,5,new,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,36,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,45,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,22,5,new,"Tashkent, Mirabad district",6/25/2023
new building.csv,29,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,30,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,28,5,new,"Tashkent, Mirabad district",6/25/2023
new building.csv,34,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,18,5,new,"Tashkent, Sergeli district",6/25/2023
new building.csv,33,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,33,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,34,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,45,5,new,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,28,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,35,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,28,5,new,"Tashkent, Mirabad district",6/25/2023
new building.csv,30,5,new,"Tashkent, Yakkasarai district",6/25/2023
new building.csv,31,5,new,"Tashkent, Yakkasarai district",6/25/2023
new building.csv,87,1,secondary,"Tashkent, Yashnabad district",6/27/2021
new building.csv,65,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2021
new building.csv,82,1,secondary,"Tashkent, Shaikhantahur district",6/26/2021
new building.csv,75,1,secondary,"Tashkent, Mirabad district",6/26/2021
new building.csv,87,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/26/2021
