Size,Latitude,Longitude,price
57,41.3714709,69.2810486,52000
52,41.2911155,69.2611035,56000
42,41.2807837,69.223683,37000
65,41.2901628,69.1968618,49500
70,41.3001561,69.2108312,55000
28,41.2857552,69.2117625,25500
30,41.274633,69.200587,21200
32,41.2820131,69.2431373,20000
51,41.2924208,69.1737654,26200
30,41.2894422,69.2058023,22200
30,41.2962523,69.1909015,24200
67,41.259418,69.1804708,30200
30,41.271386,69.1961168,21200
30,41.274633,69.200587,21200
30,41.2710841,69.1849411,21200
35,41.2710841,69.1849411,22500
43,41.259418,69.1804708,22500
51,41.2948119,69.2087824,21200
65,41.3576548,69.3675816,32500
51,41.271386,69.1961168,22200
51,41.2901628,69.1968618,24200
90,41.2673079,69.2415634,45000
80,41.2769954,69.1962495,56000
70,41.3052221,69.2898134,47000
69,41.3619703,69.3875774,49900
80,41.3035042,69.2680561,76000
96,41.2902787,69.1839655,65000
76,41.2770171,69.1909015,47500
45,41.290141,69.1871763,30000
27,41.2916859,69.2177228,32000
65,41.2978921,69.1804708,44000
64,41.2807837,69.223683,56500
42,41.2948119,69.2087824,35000
26,41.2948119,69.2087824,23500
76,41.2771751,69.1789807,60500
80,41.2657122,69.1819609,68000
72,41.2985011,69.2029128,41500
100,41.2978921,69.1804708,55000
65,41.2770171,69.1909015,44000
80,41.2770171,69.1909015,52500
72,41.2978921,69.1804708,43000
65,41.2991561,69.2785087,80000
63,41.2673079,69.2415634,42000
48,41.2673079,69.2415634,23000
70,41.3707855,69.3190425,47000
102,41.2818558,69.2552666,88784
78,41.2978921,69.1804708,65000
100,41.259418,69.1804708,97000
34,41.2710841,69.1849411,28500
42,41.2829494,69.1968618,34500
80,41.2953086,69.182706,51000
90,41.2978921,69.1804708,51000
45,41.2807837,69.223683,48000
70,41.260048,69.162198,40000
96,41.2798237,69.2058023,67000
80,41.2797359,69.1670599,68000
63,41.2814223,69.1760005,40500
56,41.2867929,69.1789807,54000
52,41.2879715,69.1692951,36000
98,41.281265,69.1879213,68000
96,41.3068527,69.2534409,63000
93,41.3275402,69.2102725,63500
60,41.3365221,69.2824454,49500
82,41.260048,69.162198,70000
120,41.2867929,69.1789807,52000
110,41.2953086,69.182706,91000
95,41.2847707,69.2288981,83000
56,41.265874,69.223683,40500
68,41.2885649,69.2290098,48000
57,41.3333453,69.2475235,42000
46,41.286283,69.3235123,19765
45,41.2807837,69.223683,34500
40,41.3804352,69.2840285,40000
95,41.3427418,69.3875774,50000
53,41.3197131,69.2773236,68000
72,41.3376966,69.243806,41500
65,41.3215876,69.3230626,41500
82,41.3197131,69.2773236,86000
42,41.259418,69.1804708,25500
54,41.259418,69.1804708,31500
42,41.259418,69.1804708,26500
20,41.2978921,69.1804708,14500
45,41.2857552,69.2117625,45000
46,41.259418,69.1804708,30000
50,41.259418,69.1804708,34500
36,41.259418,69.1804708,27000
80,41.281265,69.1879213,59500
72,41.3239274,69.2143264,48000
78,41.2797359,69.1670599,47299
46,41.260048,69.162198,37000
60,41.2894422,69.2058023,38000
58,41.3638683,69.2187028,29500
70,41.2829494,69.1968618,56000
68,41.2788969,69.2489174,45000
100,41.2978921,69.1804708,61500
68,41.2885649,69.2290098,46500
70,41.2978921,69.1804708,51000
90,41.260048,69.162198,58400
60,41.260048,69.162198,47000
90,41.2978921,69.1804708,52500
97,41.2978921,69.1804708,50000
148,41.2847707,69.2288981,41500
101,41.260048,69.162198,45000
103,41.2814223,69.1760005,47500
85,41.259418,69.1804708,52500
142,41.2814223,69.1760005,26000
110,41.2798237,69.2058023,105000
111,41.2729489,69.1916465,42000
112,41.2894422,69.2058023,53500
103,41.2673079,69.2415634,23000
132,41.3080076,69.3078679,12500
110,41.2991561,69.2785087,107000
141,41.2710841,69.1849411,35000
125,41.2798237,69.2058023,70000
72,41.3180348,69.2942247,55000
109,41.3292204,69.3473509,39414
70,41.4153867,69.4292923,60000
186,41.3245206,69.2773236,183000
127,41.319567,69.3246635,98500
134,41.3576548,69.3675816,18000
116,41.2916859,69.2177228,42500
139,41.2916859,69.2177228,101000
137.5,41.2710841,69.1849411,112000
70,41.296195,69.262388,70000
68,41.3162377,69.2312263,45800
142,41.2948119,69.2087824,124000
114,41.2962523,69.1909015,85000
126,41.274633,69.200587,104000
136,41.274633,69.200587,68000
148,41.2814223,69.1760005,170000
66,41.260048,69.162198,47000
60,41.2798237,69.2058023,47000
137,41.2857552,69.2117625,160000
140,41.3392308,69.3389519,240000
61,41.3700057,69.2892434,55000
132,41.2837307,69.2169777,128500
65,41.274633,69.200587,42000
66,41.2902787,69.1839655,67000
70,41.2916859,69.2177228,46500
66,41.2773103,69.2152083,50500
65,41.2770171,69.1909015,40000
137,41.2785565,69.3415733,130071
69.65,41.3292204,69.3473509,45188
88,41.2770171,69.1909015,53000
116,41.2673079,69.2415634,125600
61,41.295316,69.275364,52000
45,41.3462538,69.3323894,44000
69,41.2202309,69.2251673,40000
55.13,41.3292204,69.3473509,35226
120,41.2894422,69.2058023,154000
240,41.3268984,69.1952565,122500
180,41.3375577,69.3726789,136500
123,41.2892951,69.2582738,140000
201,41.259418,69.1804708,135000
100,41.296644,69.275878,142000
120,41.2885649,69.2290098,152000
113,41.3645355,69.2281531,100000
170,41.327974,69.2611824,180000
190,41.2304214,69.2117625,200220
170,41.2994958,69.2400734,152000
205,41.3709551,69.307123,230654
180,41.3539037,69.3851063,95000
163,41.3653679,69.2773236,142000
145,41.3021647,69.2687,69000
206,41.294821,69.3659745,248000
131,41.3146381,69.3228615,134000
160,41.3466485,69.3328133,185020
170,41.3488728,69.1689332,201000
180,41.2828581,69.2125566,99000
175,41.3104865,69.2922234,160000
168,41.3357758,69.34359,86500
176,41.3123276,69.3159192,92000
184,41.3133669,69.3235746,285000
117,41.3203273,69.2993794,125000
70,41.319567,69.3246635,137000
147,41.3209122,69.303727,92000
156,41.271386,69.1961168,116000
193,41.274633,69.200587,212000
230,41.259418,69.1804708,284000
204,41.2857552,69.2117625,270000
137.92,41.259418,69.1804708,88500
160,41.259418,69.1804708,94500
159,41.259418,69.1804708,189652
201,41.2901628,69.1968618,225000
230.5,41.259418,69.1804708,223500
172,41.3051824,69.2638823,63000
180,41.2922516,69.3419071,190900
133,41.2780874,69.2060703,124500
161,41.3693331,69.3101022,182514
187,41.3104865,69.2922234,210000
163,41.3375577,69.3726789,186000
123.61,41.3333453,69.2475235,240000
229,41.2830467,69.2222748,253000
139,41.3318205,69.3644846,136080
148,41.2771751,69.1789807,169670
145,41.262123,69.1647666,87600
122,41.3390184,69.2261213,95000
142,41.3245206,69.2773236,64000
50,41.3137673,69.2910424,45000
100,41.3550649,69.3585936,48000
60,41.314662,69.293391,32000
50,41.2911414,69.2601933,47000
78,41.3200874,69.3013967,70500
164,41.2765672,69.2460335,170000
60,41.3427418,69.3875774,30500
42,41.259418,69.1804708,26000
70,41.2857552,69.2117625,37500
35,41.2829101,69.2116463,26500
